# Per-triangle psi statistic data for n=7
# Format: triangle_index l1[0..n-1] l2[0..2n-1] | psi_dist (q:count pairs)
# Canonical triangles with level1 = (0,1,...,n-1) and boundary ordering
# Total triangles: 3098
# Each row: idx l1_data l2_data | q0:c0 q1:c1 ...
#
0 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 2 3 4 5 5 6 6 | 3:9 4:52 5:129 6:240 7:360 8:480 9:591 10:659 11:659 12:591 13:480 14:360 15:240 16:129 17:52 18:9 
1 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 2 3 5 6 4 5 6 | 4:22 5:113 6:223 7:353 8:497 9:614 10:698 11:698 12:614 13:497 14:353 15:223 16:113 17:22 
2 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 2 5 3 4 5 6 6 | 3:2 4:27 5:114 6:223 7:360 8:497 9:606 10:691 11:691 12:606 13:497 14:360 15:223 16:114 17:27 18:2 
3 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 2 5 3 6 4 5 6 | 4:8 5:81 6:212 7:354 8:503 9:634 10:728 11:728 12:634 13:503 14:354 15:212 16:81 17:8 
4 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 2 5 4 6 3 5 6 | 4:4 5:64 6:199 7:361 8:502 9:644 10:746 11:746 12:644 13:502 14:361 15:199 16:64 17:4 
5 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 2 6 3 5 4 5 6 | 4:4 5:58 6:218 7:348 8:492 9:652 10:748 11:748 12:652 13:492 14:348 15:218 16:58 17:4 
6 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 2 6 4 5 3 5 6 | 4:4 5:56 6:193 7:358 8:495 9:653 10:761 11:761 12:653 13:495 14:358 15:193 16:56 17:4 
7 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 3 5 2 4 5 6 6 | 3:5 4:32 5:113 6:228 7:360 8:492 9:607 10:683 11:683 12:607 13:492 14:360 15:228 16:113 17:32 18:5 
8 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 3 5 2 6 4 5 6 | 4:17 5:79 6:220 7:350 8:501 9:635 10:718 11:718 12:635 13:501 14:350 15:220 16:79 17:17 
9 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 3 5 4 6 2 5 6 | 4:18 5:72 6:201 7:363 8:490 9:654 10:722 11:722 12:654 13:490 14:363 15:201 16:72 17:18 
10 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 3 6 2 5 4 5 6 | 4:10 5:62 6:224 7:340 8:498 9:646 10:740 11:740 12:646 13:498 14:340 15:224 16:62 17:10 
11 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 3 6 4 5 2 5 6 | 4:15 5:67 6:201 7:350 8:492 9:654 10:741 11:741 12:654 13:492 14:350 15:201 16:67 17:15 
12 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 5 6 2 3 4 5 6 | 4:4 5:39 6:174 7:360 8:497 9:660 10:786 11:786 12:660 13:497 14:360 15:174 16:39 17:4 
13 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 5 6 2 4 3 5 6 | 4:4 5:28 6:132 7:390 8:494 9:654 10:818 11:818 12:654 13:494 14:390 15:132 16:28 17:4 
14 0 1 2 3 4 5 6 | 0 1 3 2 4 0 1 5 6 3 4 2 5 6 | 4:6 5:37 6:149 7:361 8:503 9:664 10:800 11:800 12:664 13:503 14:361 15:149 16:37 17:6 
15 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 1 3 4 5 5 6 6 | 3:5 4:50 5:125 6:240 7:360 8:480 9:595 10:665 11:665 12:595 13:480 14:360 15:240 16:125 17:50 18:5 
16 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 1 3 5 6 4 5 6 | 4:14 5:115 6:210 7:366 8:487 9:624 10:704 11:704 12:624 13:487 14:366 15:210 16:115 17:14 
17 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 1 5 3 4 5 6 6 | 4:24 5:107 6:224 7:360 8:496 9:613 10:696 11:696 12:613 13:496 14:360 15:224 16:107 17:24 
18 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 1 5 3 6 4 5 6 | 4:4 5:75 6:207 7:355 8:503 9:642 10:734 11:734 12:642 13:503 14:355 15:207 16:75 17:4 
19 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 1 5 4 6 3 5 6 | 5:58 6:194 7:362 8:502 9:652 10:752 11:752 12:652 13:502 14:362 15:194 16:58 
20 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 1 6 3 5 4 5 6 | 5:56 6:206 7:350 8:494 9:658 10:756 11:756 12:658 13:494 14:350 15:206 16:56 
21 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 1 6 4 5 3 5 6 | 5:52 6:186 7:356 8:498 9:660 10:768 11:768 12:660 13:498 14:356 15:186 16:52 
22 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 3 5 1 4 5 6 6 | 4:19 5:99 6:225 7:360 8:495 9:621 10:701 11:701 12:621 13:495 14:360 15:225 16:99 17:19 
23 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 3 5 1 6 4 5 6 | 4:4 5:62 6:205 7:353 8:508 9:644 10:744 11:744 12:644 13:508 14:353 15:205 16:62 17:4 
24 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 3 5 4 6 1 5 6 | 5:48 6:189 7:357 8:504 9:666 10:756 11:756 12:666 13:504 14:357 15:189 16:48 
25 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 3 6 1 5 4 5 6 | 5:46 6:200 7:346 8:506 9:646 10:776 11:776 12:646 13:506 14:346 15:200 16:46 
26 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 3 6 4 5 1 5 6 | 5:42 6:183 7:352 8:493 9:669 10:781 11:781 12:669 13:493 14:352 15:183 16:42 
27 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 5 6 1 3 4 5 6 | 5:22 6:146 7:346 8:518 9:670 10:818 11:818 12:670 13:518 14:346 15:146 16:22 
28 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 5 6 1 4 3 5 6 | 5:10 6:109 7:368 8:515 9:677 10:841 11:841 12:677 13:515 14:368 15:109 16:10 
29 0 1 2 3 4 5 6 | 0 1 3 2 4 0 2 5 6 3 4 1 5 6 | 5:14 6:114 7:344 8:525 9:681 10:842 11:842 12:681 13:525 14:344 15:114 16:14 
